longitude,latitude,speciesID,userID,numberSpecimens,reportDate,image|
-73.8359042,40.7075444,1,1,1,2023-04-14T04:16:00,SLF1.jpeg|
-73.818105,40.736635,1,1,1,2023-04-14T04:16:00,SLF2.jpeg|
-73.9593146,40.7439884,1,2,2,2023-04-14T04:16:00,SLF3.jpeg|
-73.9095352,40.7795765,1,2,1,2023-04-14T04:16:00,SLF4.jpeg|
-73.9568811,40.747951,1,2,1,2023-04-14T04:16:00,SLF5.jpeg|
-73.8658724,40.7670653,1,3,1,2023-04-14T04:16:00,SLF6.jpeg|
-73.934969,40.5443079,1,3,1,2023-04-14T04:16:00,SLF7.jpeg|
-74.0132825,41.0987501,2,1,1,2023-04-14T05:16:00,alb1.jpg|
-74.009398,40.6165175,2,1,2,2023-04-14T05:16:00,alb2.jpeg|
-73.705055,40.9574383,2,2,2,2023-04-14T05:16:00,alb3.jpeg|
-74.0121319,40.6778589,2,2,1,2023-04-14T05:16:00,alb4.jpeg|
-73.5984955,40.5905762,2,3,1,2023-04-14T05:16:00,alb5.jpg|
-73.704605,40.957505,2,3,1,2023-04-14T05:16:00,alb6.jpg|
-73.859245,40.9151467,3,1,1,2023-04-15T05:16:00,eab1.jpeg|
-73.8860783,40.9657467,3,2,2,2023-04-15T05:16:00,eab2.jpeg|
-73.703095,40.9531383,3,2,1,2023-04-15T05:16:00,eab3.jpeg|
-73.8658724,40.7670653,3,3,1,2023-04-15T05:16:00,eab4.jpeg|
-73.8658724,40.7670653,4,1,1,2023-04-15T06:16:00,spm1.jpeg|
-73.9586913,40.8154345,4,1,1,2023-04-15T06:16:00,spm2.jpeg|
-73.9784853,40.7850556,4,2,1,2023-04-15T06:16:00,spm3.jpeg|
-73.6238556,40.6233528,4,3,1,2023-04-15T06:16:00,spm4.jpeg|
-73.922514,41.0592435,4,3,1,2023-04-15T06:16:00,spm5.jpeg
